"playernum","Game","whyplay","Weekly_Hours","Gender","Age","Work","Degree","Residence","Playstyle","GAD_T","SWL_T","SPIN_T","Residence_ISO3","motivation","occupation","styleofplay"
1,"Skyrim","having fun",15,"Male",25,"Unemployed / between jobs","Bachelor (or equivalent)","USA","Singleplayer",1,23,5,"USA","having fun","Unemployed","Singleplayer"
2,"Other","having fun",10,"Male",41,"Unemployed / between jobs","Bachelor (or equivalent)","USA","Multiplayer - online - with strangers",8,16,33,"USA","having fun","Unemployed","Multiplayer - online - with strangers"
3,"Other","having fun",0,"Female",32,"Employed","Bachelor (or equivalent)","Germany","Singleplayer",8,17,31,"DEU","having fun","Employed","Singleplayer"
4,"Other","improving",25,"Male",28,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",0,17,11,"USA","improving","Employed","Multiplayer - online - with online acquaintances or teammates"
5,"Other","having fun",21,"Male",19,"Employed","High school diploma (or equivalent)","South Korea","Multiplayer - online - with strangers",14,14,13,"KOR","having fun","Employed","Multiplayer - online - with strangers"
6,"Other","relaxing",4,"Male",24,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with real life friends",1,17,13,"USA","relaxing","Employed","Multiplayer - online - with real life friends"
7,"Other","relaxing",38,"Male",29,"Employed","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",0,16,26,"USA","relaxing","Employed","Multiplayer - online - with online acquaintances or teammates"
8,"Other","having fun",25,"Female",23,"Employed","Bachelor (or equivalent)","Japan","Singleplayer",0,23,NA,"JPN","having fun","Employed","Singleplayer"
9,"Other","winning",2,"Female",23,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with strangers",12,12,55,"USA","winning","Employed","Multiplayer - online - with strangers"
10,"World of Warcraft","improving",25,"Female",27,"Employed","High school diploma (or equivalent)","Finland","Multiplayer - online - with online acquaintances or teammates",10,13,26,"FIN","improving","Employed","Multiplayer - online - with online acquaintances or teammates"
11,"Other","having fun",14,"Female",21,"Student at college / university","High school diploma (or equivalent)","USA","Singleplayer",19,27,6,"USA","having fun","Student","Singleplayer"
12,"League of Legends","having fun",27,"Male",25,"Employed","Bachelor (or equivalent)","USA","Multiplayer - online - with real life friends",0,33,3,"USA","having fun","Employed","Multiplayer - online - with real life friends"
13,"Other","improving",10,"Male",18,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",0,31,23,"USA","improving","Student","Multiplayer - online - with real life friends"
14,"Other","relaxing",26,"Male",19,"Student at school","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",3,26,29,"USA","relaxing","Student","Multiplayer - online - with real life friends"
15,"Other","having fun",35,"Male",35,"Employed","High school diploma (or equivalent)","Canada","Multiplayer - online - with strangers",2,13,33,"CAN","having fun","Employed","Multiplayer - online - with strangers"
16,"Other","having fun",14,"Male",18,"Student at college / university","High school diploma (or equivalent)","Australia","Singleplayer",8,28,30,"AUS","having fun","Student","Singleplayer"
17,"Other","having fun",9,"Female",24,"Unemployed / between jobs","Bachelor (or equivalent)","UK","Multiplayer - offline (people in the same room)",4,15,36,"GBR","having fun","Unemployed","Multiplayer - offline (people in the same room)"
18,"Other","improving, having fun",21,"Male",30,"Employed","Bachelor (or equivalent)","Bosnia and Herzegovina","all of the above",1,19,8,"BIH","Other","Employed","Other"
19,"Skyrim","relaxing",10,"Male",29,"Unemployed / between jobs","High school diploma (or equivalent)","USA","Singleplayer",8,6,36,"USA","relaxing","Unemployed","Singleplayer"
20,"Other","relaxing",8,"Male",22,"Employed","Bachelor (or equivalent)","Ireland","Multiplayer - online - with strangers",0,31,11,"IRL","relaxing","Employed","Multiplayer - online - with strangers"
21,"Other","having fun",7,"Female",20,"Employed","High school diploma (or equivalent)","Finland","Singleplayer",2,16,26,"FIN","having fun","Employed","Singleplayer"
